,index,agency_cd,site_no,station_nm,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,parameter_code
103,104,USGS,01093852,"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH",42.84258580,-71.70673990,S,NAD83,00065
104,105,USGS,01094000,"SOUHEGAN RIVER AT MERRIMACK, NH",42.85758650,-71.50617850,S,NAD83,00065
105,106,USGS,01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",42.57620079,-71.78812850,S,NAD83,00065
106,107,USGS,01094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",42.49506389,-71.72193330,H,NAD83,00065
107,108,USGS,01095220,"STILLWATER RIVER NEAR STERLING, MA",42.41092507,-71.79118290,S,NAD83,00065
108,109,USGS,01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",42.37286967,-71.82812790,S,NAD83,00065
109,110,USGS,01095434,"GATES BROOK NEAR WEST BOYLSTON, MA",42.36453675,-71.77534900,S,NAD83,00065
110,111,USGS,01095503,"NASHUA RIVER, WATER STREET BRIDGE, AT CLINTON, MA",42.41944444,-71.66611110,1,NAD83,00065
111,112,USGS,01096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",42.63425619,-71.65784790,S,NAD83,00065
112,113,USGS,01096500,"NASHUA RIVER AT EAST PEPPERELL, MA",42.66758945,-71.57506809,S,NAD83,00065
113,114,USGS,01096508,"MERRIMACK RIVER AT NASHUA, NH",42.76342190,-71.44284320,S,NAD83,00065
114,115,USGS,010965852,"BEAVER BROOK AT NORTH PELHAM, NH",42.78286636,-71.35367448,S,NAD83,00065
115,116,USGS,01097000,"ASSABET RIVER AT MAYNARD, MA",42.43203800,-71.44978480,S,NAD83,00065
116,117,USGS,01097300,"NASHOBA BROOK NEAR ACTON, MA",42.51259289,-71.40422829,S,NAD83,00065
117,118,USGS,01098500,"COCHITUATE BK BL LAKE COCHITUATE AT FRAMINGHAM, MA",42.31514167,-71.38380830,1,NAD83,00065
118,119,USGS,01098530,"SUDBURY RIVER AT SAXONVILLE, MA",42.32537320,-71.39756050,S,NAD83,00065
119,120,USGS,01099500,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA",42.63675810,-71.30200470,S,NAD83,00065
120,121,USGS,01100000,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",42.64592464,-71.29839370,S,NAD83,00065
121,122,USGS,01100500,"MERRIMACK RIVER AT LAWRENCE, MA",42.70483330,-71.15313889,1,NAD83,00065
122,123,USGS,01100505,"SPICKET RIVER AT NORTH SALEM, NH",42.84925470,-71.21506070,S,NAD83,00065
123,124,USGS,01100561,"SPICKET RIVER NEAR METHUEN, MA",42.74314560,-71.20839300,S,NAD83,00065
124,125,USGS,01100568,"SHAWSHEEN RIVER AT HANSCOM FIELD NEAR BEDFORD, MA",42.46703909,-71.27227950,S,NAD83,00065
125,126,USGS,01100600,"SHAWSHEEN RIVER NEAR WILMINGTON, MA",42.56814880,-71.21477920,S,NAD83,00065
126,127,USGS,01100627,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA",42.67148060,-71.14922390,S,NAD83,00065
127,128,USGS,01100693,"MERRIMACK R 0.3 MILES U.S.RT 125 AT HAVERHILL,MA",42.77277778,-71.08305560,S,NAD83,00065
128,129,USGS,01100870,"MERRIMACK RIVER AT NEWBURYPORT, MA",42.81564687,-70.87283057,U,NAD83,00065
129,130,USGS,01101000,"PARKER RIVER AT BYFIELD, MA",42.75286948,-70.94560960,S,NAD83,00065
130,131,USGS,01101500,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",42.56953869,-71.02699740,S,NAD83,00065
131,132,USGS,01102000,"IPSWICH RIVER NEAR IPSWICH, MA",42.65981570,-70.89366220,S,NAD83,00065
132,133,USGS,01102345,"SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA",42.46954040,-71.00699540,S,NAD83,00065
133,134,USGS,01102500,"ABERJONA RIVER AT WINCHESTER, MA",42.44745680,-71.13808160,H,NAD83,00065
134,135,USGS,01103025,"ALEWIFE BROOK NEAR ARLINGTON, MA",42.40704077,-71.13394220,S,NAD83,00065
135,136,USGS,01103050,"MYSTIC R AT AMELIA EARHART DAM NR SOMERVILLE, MA",42.39565236,-71.07505177,S,NAD83,00065
136,137,USGS,01103280,"CHARLES RIVER AT MEDWAY, MA",42.13981970,-71.38950320,S,NAD83,00065
137,138,USGS,01103455,"TROUT BROOK AT DOVER, MA",42.25398645,-71.29339017,U,NAD83,00065
138,139,USGS,01103500,"CHARLES RIVER AT DOVER, MA",42.25620900,-71.26005580,S,NAD83,00065
139,140,USGS,01104000,"MOTHER BROOK AT DEDHAM, MA",42.25509850,-71.16421960,S,NAD83,00065
140,141,USGS,01104200,"CHARLES RIVER AT WELLESLEY, MA",42.31648610,-71.22783300,S,NAD83,00065
141,142,USGS,01104370,"STONY BROOK AT VILES STREET, NEAR WESTON, MA",42.38555556,-71.28944440,5,NAD83,00065
142,143,USGS,01104410,"CAMBRIDGE RES., UNNAMED TRIB 1, NR LEXINGTON, MA",42.43648406,-71.26422350,S,NAD83,00065
143,144,USGS,01104415,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",42.43592855,-71.26005670,S,NAD83,00065
144,145,USGS,01104420,"CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXINGTON, MA",42.41981770,-71.25755650,S,NAD83,00065
145,146,USGS,01104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",42.39815120,-71.27339030,S,NAD83,00065
146,147,USGS,01104455,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",42.37259606,-71.27033448,S,NAD83,00065
147,148,USGS,01104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",42.36898500,-71.27061230,S,NAD83,00065
148,149,USGS,01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",42.35454080,-71.26811210,S,NAD83,00065
149,150,USGS,01104480,"STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA",42.35565190,-71.26505650,S,NAD83,00065
150,151,USGS,01104500,"CHARLES RIVER AT WALTHAM, MA",42.37231857,-71.23366680,U,NAD83,00065
151,152,USGS,01104501,"BEAVER BROOK, LINDEN STREET, AT WALTHAM, MA",42.37869720,-71.22237220,H,NAD83,00065
152,153,USGS,01104683,"MUDDY RIVER AT BROOKLINE, MA",42.33731970,-71.11116328,S,NAD83,00065
153,154,USGS,01104705,"CHARLES RIVER AT FIRST ST AT CAMBRIDGE, MA",42.36222220,-71.07861110,S,NAD83,00065
154,155,USGS,01104715,"CHARLES RIVER, NEW CHARLES RIVER DAM AT BOSTON, MA",42.36888889,-71.06166670,S,NAD83,00065
155,156,USGS,01105000,"NEPONSET RIVER AT NORWOOD, MA",42.17759870,-71.20088630,S,NAD83,00065
156,157,USGS,01105500,"EAST BRANCH NEPONSET RIVER AT CANTON, MA",42.15454356,-71.14588420,S,NAD83,00065
157,158,USGS,011055525,"PONKAPOAG BRK UPSTREAM RT 138,NR CANTON, MA",42.19027778,-71.11444440,S,NAD83,00065
158,159,USGS,01105554,"NEPONSET RIVER AT GREENLODGE ST NEAR CANTON, MA",42.20926550,-71.14588510,S,NAD83,00065
159,160,USGS,011055566,"NEPONSET RIVER AT MILTON VILLAGE, MA",42.27093210,-71.06838369,S,NAD83,00065
160,161,USGS,01105583,"MONATIQUOT RIVER AT EAST BRAINTREE, MA",42.22093308,-70.97810260,S,NAD83,00065
161,162,USGS,01105584,"TOWN BROOK AT DIVERSION TUNNEL AT QUINCY, MA",42.24444444,-71.00444440,S,NAD83,00065
162,163,USGS,01105585,"TOWN BROOK AT QUINCY, MA",42.24787726,-70.99727030,S,NAD83,00065
163,164,USGS,01105600,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA",42.19037790,-70.94476790,U,NAD83,00065
164,165,USGS,01105606,"WHITMANS POND, WHITMANS POND DAM AT E. WEYMOUTH,MA",42.21083330,-70.92944440,S,NAD83,00065
165,166,USGS,01105607,"WHITMANS POND FLOOD BY-PASS AT EAST WEYMOUTH, MA",42.21277778,-70.92750000,S,NAD83,00065
166,167,USGS,01105608,"WHITMANS POND FISH LADDER AT EAST WEYMOUTH, MA",42.21305556,-70.92638889,S,NAD83,00065
167,168,USGS,01105638,"WEIR RIVER AT LEAVITT STREET AT HINGHAM, MA",42.23482260,-70.87198920,S,NAD83,00065
168,169,USGS,01105730,"INDIAN HEAD RIVER AT HANOVER, MA",42.10065710,-70.82254150,U,NAD83,00065
169,170,USGS,01105870,"JONES RIVER AT KINGSTON, MA",41.99093620,-70.73364910,U,NAD83,00065
170,171,USGS,01105876,"EEL RIVER AT RT 3A NEAR PLYMOUTH, MA",41.94177039,-70.62253380,S,NAD83,00065
171,172,USGS,01105880,"HERRING RIVER AT NORTH HARWICH, MA",41.70011074,-70.10696250,S,NAD83,00065
172,173,USGS,0110588332,"MARSTONS MILLS RV, DS OUT. OF BOG, MARS. MILLS, MA",41.66710556,-70.42362778,S,NAD83,00065
173,174,USGS,011058835951,"MASHPEE RIVER, AT ASHERS PATH, NR MASHPEE, MA",41.62948889,-70.48383610,S,NAD83,00065
174,175,USGS,0110588364,"QUASHNET R. 0.6 MI DS OF JOHNS POND NR MASHPEE, MA",41.63316430,-70.50475010,S,NAD83,00065
175,176,USGS,011058837,"QUASHNET RIVER AT WAQUOIT VILLAGE, MA",41.59233175,-70.50780579,U,NAD83,00065
176,177,USGS,011058837198,"CHILDS RIVER, E. OF WAQUOIT FARMS DR,NR WAQUOIT",41.58831667,-70.52528330,S,NAD83,00065
177,178,USGS,01105917,"MATTAPOISETT RIVER NEAR MATTAPOISETT, MA",41.66260446,-70.83836960,S,NAD83,00065
178,179,USGS,01105933,"PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA",41.58538185,-70.99031710,S,NAD83,00065
179,180,USGS,01108000,"TAUNTON RIVER NEAR BRIDGEWATER, MA",41.93399030,-70.95643070,S,NAD83,00065
180,181,USGS,01108410,"MILL RIVER AT SPRING STREET AT TAUNTON, MA",41.89982320,-71.08948970,S,NAD83,00065
181,182,USGS,01109000,"WADING RIVER NEAR NORTON, MA",41.94760015,-71.17671550,S,NAD83,00065
182,183,USGS,01109060,"THREEMILE RIVER AT NORTH DIGHTON, MA",41.86621220,-71.12282369,S,NAD83,00065
183,184,USGS,01109070,"SEGREGANSET RIVER NEAR DIGHTON, MA",41.84037900,-71.14282400,S,NAD83,00065
184,185,USGS,01109403,"TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI",41.83093377,-71.35033150,U,NAD83,00065
185,186,USGS,01109730,"BLACKSTONE RIVER, W. MAIN ST., AT MILLBURY, MA",42.18898350,-71.76507020,S,NAD83,00065
186,187,USGS,01110000,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA",42.23037200,-71.71090230,S,NAD83,00065
187,188,USGS,01110500,"BLACKSTONE RIVER AT NORTHBRIDGE, MA",42.15370688,-71.65201138,S,NAD83,00065
188,189,USGS,01111212,"BLACKSTONE RIVER, RT 122 BRIDGE NEAR UXBRIDGE, MA",42.05481959,-71.61645420,S,NAD83,00065
189,190,USGS,01111300,"NIPMUC RIVER NEAR HARRISVILLE, RI",41.98120930,-71.68590049,U,NAD83,00065
190,191,USGS,01111500,"BRANCH RIVER AT FORESTDALE, RI",41.99648716,-71.56200758,S,NAD83,00065
191,192,USGS,01112500,"BLACKSTONE RIVER AT WOONSOCKET, RI",42.00648710,-71.50256130,S,NAD83,00065
192,193,USGS,01113895,BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI,41.88843310,-71.38144467,S,NAD83,00065
193,194,USGS,01114000,"MOSHASSUCK RIVER AT PROVIDENCE, RI",41.83398900,-71.41061208,U,NAD83,00065
194,195,USGS,01114500,"WOONASQUATUCKET RIVER AT CENTERDALE, RI",41.85898840,-71.48728230,S,NAD83,00065
195,196,USGS,01115098,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI",41.85259920,-71.60617540,S,NAD83,00065
196,197,USGS,01115110,"HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI",41.84565480,-71.60950880,S,NAD83,00065
197,198,USGS,01115114,"RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI",41.83759929,-71.61200890,S,NAD83,00065
198,199,USGS,01115170,"MOSWANSICUT STREAM NR NORTH SCITUATE, RI",41.84093269,-71.58450800,S,NAD83,00065
199,200,USGS,01115183,"QUONAPAUG BK AT RT 116 NR NORTH SCITUATE, RI",41.79759966,-71.58478570,S,NAD83,00065
200,201,USGS,01115184,"SPRUCE BROOK NR NORTH SCITUATE, RI",41.78871070,-71.62006470,S,NAD83,00065
201,202,USGS,01115185,"WINDSOR BROOK AT WINDSOR RD NEAR SOUTH FOSTER, RI",41.83621005,-71.72256829,S,NAD83,00065
202,203,USGS,01115187,"PONAGANSET RIVER AT SOUTH FOSTER, RI",41.81871020,-71.70506770,S,NAD83,00065
203,204,USGS,01115190,"DOLLY COLE BK AT OLD DANIELSON PK AT S FOSTER, RI",41.82232130,-71.70034528,S,NAD83,00065
204,205,USGS,01115265,"HEMLOCK BROOK AT KING ROAD NR FOSTER, RI",41.79065480,-71.69867850,S,NAD83,00065
205,206,USGS,01115275,"BEAR TREE BROOK NR CLAYVILLE, RI",41.78259940,-71.67478879,S,NAD83,00065
206,207,USGS,01115276,"WESTCONNAUG STREAM AT PLAINFIELD PIKE, RI",41.78537720,-71.66728850,S,NAD83,00065
207,208,USGS,01115278,"SWAMP BROOK AT PONAGANSETT ROAD NR CLAYVILLE, RI",41.79680000,-71.66943060,1,NAD83,00065
208,209,USGS,01115280,"CORK BK AT ROCKLAND SCITUATE RD NR CLAYVILLE, RI",41.80398827,-71.64978790,S,NAD83,00065
209,210,USGS,01115297,WILBUR HOLLOW BK AT OLD PLAINFIELD PK NR CLAYVILLE,41.76482190,-71.63562070,S,NAD83,00065
210,211,USGS,01115500,"NORTH BRANCH PAWTUXET RIVER AT FISKEVILLE, RI",41.73287798,-71.54978420,S,NAD83,00065
211,212,USGS,01115630,"NOOSENECK RIVER AT NOOSENECK, RI",41.62676670,-71.63256460,U,NAD83,00065
212,213,USGS,01116000,"SOUTH BRANCH PAWTUXET RIVER AT WASHINGTON, RI",41.69010026,-71.56589580,S,NAD83,00065
213,214,USGS,01116500,"PAWTUXET RIVER AT CRANSTON, RI",41.75093399,-71.44505750,S,NAD83,00065
214,215,USGS,01116905,"HUNT R 250 FT DS FRY BRK AT FRENCHTOWN, RI",41.63000000,-71.47888889,S,NAD83,00065
215,216,USGS,01117000,"HUNT RIVER NEAR EAST GREENWICH, RI",41.64121220,-71.44450160,U,NAD83,00065
216,217,USGS,01117350,"CHIPUXET RIVER AT WEST KINGSTON, RI",41.48232330,-71.55117190,S,NAD83,00065
217,218,USGS,01117370,QUEEN R AT LIBERTY RD AT LIBERTY RI,41.53898957,-71.56867300,S,NAD83,00065
218,219,USGS,01117420,"USQUEPAUG RIVER NEAR USQUEPAUG, RI",41.47676730,-71.60478490,U,NAD83,00065
219,220,USGS,01117430,"PAWCATUCK RIVER AT KENYON, RI",41.44621186,-71.62117380,S,NAD83,00065
220,221,USGS,01117468,"BEAVER RIVER NEAR USQUEPAUG, RI",41.49260037,-71.62811940,S,NAD83,00065
221,222,USGS,01117500,"PAWCATUCK RIVER AT WOOD RIVER JUNCTION, RI",41.44510024,-71.68089828,S,NAD83,00065
222,223,USGS,01117800,"WOOD RIVER NEAR ARCADIA, RI",41.57398840,-71.72062318,S,NAD83,00065
223,224,USGS,01118000,"WOOD RIVER AT HOPE VALLEY, RI",41.49815516,-71.71645610,U,NAD83,00065
224,225,USGS,01118300,"PENDLETON HILL BROOK NEAR CLARKS FALLS, CT",41.47482220,-71.83423610,H,NAD83,00065
